,grid3,positionorder3,points3,fastestlap3,fastestlapspeed3,qposition3,meanlaptime3,fastlaptime3,grid1,positionorder1,points1,fastestlap1,fastestlapspeed1,qposition1,meanlaptime1,fastlaptime1,grid2,positionorder2,points2,fastestlap2,fastestlapspeed2,qposition2,meanlaptime2,fastlaptime2,championship_points
294,20,16,0,43,185.192,20,110977.44444444444,105963,,,,,,,,,,,,,,,,,
295,13,17,0,46,188.906,13,106260.98076923077,103880,11,13,0,30,202.458,12,99972.6875,94295,6,7,6,42,190.81,6,110063.48214285713,104579,49
296,11,18,0,37,189.259,11,108579.57142857145,103686,9,15,0,,,10,,,12,16,0,38,189.919,12,111961.3829787234,105070,27
297,12,19,0,13,184.621,12,107703.86666666668,106291,12,16,0,,,13,,,5,9,2,41,190.929,5,110344.16363636364,104514,95
298,16,20,0,6,185.401,16,107170.77777777775,105844,13,7,6,48,207.576,14,97565.7894736842,91970,13,14,0,46,190.368,13,111176.2181818182,104822,322
306,1,1,25,38,195.419,1,105962.33928571428,100418,2,1,25,21,210.815,2,113957.28070175438,90557,2,1,25,41,206.21,2,98503.43859649124,94482,6
307,4,2,18,37,195.046,4,106636.91071428572,100610,3,3,15,23,212.235,3,114126.45614035089,89951,3,21,0,,,3,,,37
308,6,3,15,38,193.248,6,106782.625,101546,18,22,0,,,18,,,15,7,6,36,203.633,15,100282.67857142855,95678,1
309,2,4,12,55,194.264,2,106903.19642857145,101015,8,4,12,49,214.51,8,114384.12280701756,88997,5,4,12,44,202.814,5,99599.82456140351,96064,6
310,3,5,10,40,195.079,3,107138.625,100593,4,18,0,21,210.48,4,152368.7619047619,90701,4,2,18,39,204.745,4,98683.82456140351,95158,12
